Episode,Average Distance
1827,76.3604013262115
1828,133.56581335952546
1829,98.5943070310067
1830,98.11108209744324
1831,184.65402630306048
1832,143.9973896764431
1833,137.7849548860437
1834,95.4228185890305
1835,111.03967905541617
1836,98.09242045005486
1837,153.38555913531576
1838,92.47381888350832
1839,130.78655837454096
1840,128.7526192488007
1841,88.90035930913221
1842,113.96743618254098
1843,125.053681980251
1844,147.24273628467188
1845,159.07060625891904
1846,141.88060489895423
1847,122.62268393358943
1848,133.91804625038066
1849,122.78750990292973
1850,94.27278433723113
1851,92.94859726123832
1852,133.66461639228174
1853,114.16993177095299
1854,140.72530992126372
1855,125.70236351129478
1856,102.11132278876475
1857,120.4521453645022
1858,133.89490981421136
1859,125.06962684387068
1860,164.5386302274287
1861,125.76836812755414
1862,155.18151281620547
1863,143.34004766616187
1864,107.94211826815939
1865,167.8576725111792
1866,100.80437904565898
1867,120.79765781512849
1868,154.15370996679349
1869,155.93904544451615
1870,126.73988346655676
1871,160.81709148510313
1872,144.6794341223187
1873,113.59661417186736
1874,115.39205772345204
1875,116.96370517012983
1876,130.31441814268993
1877,176.91783281144467
1878,117.36094691522739
1879,95.92360296990827
1880,126.00226015585561
1881,162.58144681597182
1882,104.56599925210654
1883,104.06522568357772
1884,122.1362470281378
1885,137.76480296135182
1886,159.54149585855134
1887,110.78465542771163
1888,113.8612864409695
1889,137.56484389393455
1890,62.996719124435124
1891,95.98838679447167
1892,144.72302842723516
1893,199.3763946148839
1894,160.07832516399995
1895,147.24036657082218
1896,116.59702528752186
1897,93.92163077893582
1898,136.74456195434806
1899,136.47821256198864
1900,153.42128981391554
1901,139.72186135256928
1902,166.707337092034
1903,138.16725845998698
1904,113.31664045849661
1905,109.54914006226564
1906,124.27797866402506
1907,106.58841254449365
1908,119.1286638653519
1909,127.25470842940415
1910,95.95153749570787
1911,165.1309014358952
1912,120.911109925493
1913,117.97687274817517
1914,170.363298466409
1915,136.57679909604664
1916,136.93255081946387
1917,94.54886306365276
1918,148.13834724380908
1919,145.43304481392602
1920,103.06870868182969
1921,96.06581876081887
1922,135.62492924353688
1923,133.73263070528645
1924,154.00381318181624
1925,135.79735054140573
1926,114.56061631020117
1927,129.2305351374345
1928,117.80257967699262
1929,108.95377670124945
1930,157.13781964260312
1931,111.49242019181618
1932,116.66066761641864
1933,94.14627499846186
1934,123.5659831046106
1935,147.61884562406894
1936,122.20744621262064
1937,149.13534641008545
1938,167.91997068496306
1939,149.0415581762667
1940,106.59481982094505
1941,100.36414081188389
1942,156.96354757469564
1943,121.10493285349536
1944,126.77897560437614
1945,79.01180346809895
1946,113.907621172387
1947,87.55617624084226
1948,123.15121965485159
1949,147.29098171977105
1950,123.22088839073001
1951,187.66671996909
1952,167.37507271706872
1953,112.2440984735964
1954,185.53546217219605
1955,103.38394063285318
1956,166.70690455641028
1957,97.91838641940545
1958,93.44429113553745
1959,143.037707229586
1960,153.90443837348633
1961,137.50170887300692
1962,178.91232655556703
1963,112.79670033833416
1964,95.31063956097137
1965,159.27034886017702
1966,156.64410340987968
1967,115.41080327272067
1968,91.36784170000847
1969,103.35853206320238
1970,201.44319257034402
1971,99.02855960285778
1972,151.44569822378372
1973,145.41652129088558
1974,137.2064863154924
1975,104.41350159039703
1976,125.91524982538988
1977,176.7018216644756
1978,146.18750986565055
1979,120.53042483066757
1980,172.86344879907068
1981,115.9957642990092
1982,169.27378068219096
1983,92.25397166181583
1984,68.64311809813617
1985,137.33439421534487
1986,128.47060062007705
1987,119.43132826018612
1988,144.44722459524965
1989,103.87182022070597
1990,136.3639953860402
1991,121.5639051307921
1992,189.6237976072813
1993,115.01940627393226
1994,133.31636852220367
1995,135.87905050357568
1996,115.65184546356312
1997,150.49185765760424
1998,134.8743274337874
1999,126.17501000583769
2000,130.4394605887329
2001,121.35550488959953
2002,113.50908955596731
2003,91.5418244140579
2004,86.17155597250463
2005,84.08704994488681
2006,123.49273279749399
2007,160.29094315769237
2008,129.2527675934057
2009,120.3956550670149
2010,105.22073997391043
2011,160.24476687928885
2012,144.70353606660535
2013,113.44001535450518
2014,124.54707001400865
2015,90.46309017140265
2016,93.05321406218918
2017,92.38395146395241
2018,90.78824111878338
2019,108.81733934007809
2020,140.741366729696
2021,119.24980568161246
2022,143.96310766119822
2023,112.03742198988706
2024,108.95848502671967
2025,135.57950112587275
2026,126.2172595619565
2027,165.233813340777
2028,137.6406345130092
2029,144.77557233108976
2030,91.94672793644143
2031,149.299198812642
2032,100.1990740432403
2033,134.89582239047851
2034,105.98781623757274
2035,144.19332353961343
2036,73.22551111900621
2037,96.63456566025646
2038,93.23298760412476
2039,158.05086341135942
